,sample,from,from_size,to,to_size,weight,p,qValue,Sig
12,S8,IGHG2,158,IGHA1,1319,29,1.586415552344253e-05,3.172831104688506e-05,*
13,S8,IGHG2,158,IGHA2,46,6,4.288170629344125e-06,1.0005731468469625e-05,*
0,S9,IGHM,3959,IGHG3,175,75,3.787986957656194e-09,1.767727246906224e-08,*
1,S9,IGHM,3959,IGHG1,931,357,1.3285240504302035e-27,1.859933670602285e-26,*
2,S9,IGHM,3959,IGHG2,42,13,0.20323174112612966,0.2586585796150741,
3,S9,IGHM,3959,IGHA1,2586,652,0.002747389838387336,0.006410576289570451,*
4,S9,IGHM,3959,IGHA2,114,39,0.006863982564366147,0.013727965128732294,*
5,S9,IGHG3,175,IGHG1,931,28,2.15322659595064e-07,6.029034468661793e-07,*
6,S9,IGHG3,175,IGHG2,42,0,1.0,1.0,
7,S9,IGHG3,175,IGHA1,2586,19,0.13623064077141453,0.19072289707998033,
8,S9,IGHG3,175,IGHA2,114,0,0.6334851892131756,0.6822148191526508,
9,S9,IGHG1,931,IGHG2,42,17,1.667678743657856e-11,1.1673751205604993e-10,*
10,S9,IGHG1,931,IGHA1,2586,203,9.530084110926059e-09,3.335529438824121e-08,*
11,S9,IGHG1,931,IGHA2,114,8,0.4028585922922975,0.47000169100768036,
12,S9,IGHG2,42,IGHA1,2586,10,0.12575200861084784,0.19072289707998033,
13,S9,IGHG2,42,IGHA2,114,2,0.031282116086155984,0.05474370315077297,
